epistaxis	nosebleed
conjunctivitis	pink
tumor	mass
malignant	cancer
neoplasm	cancer
influenza	flu
hyperplasia	proliferation
hypersensitivity	allergy
plaque	occlusion
adenocarcinoma	cancer
pyelonephritis	urosepsis
edema	swelling
hallucination	confusion
vertigo	dizziness
diaphroesis	sweats
tremor	shake
pain	pain
fatigue	lethargy
orthostatic	postural
syncope	fainting
asystole	flatline
icterus	jaundice
narcotic	sedative
epileptic	seizure
epilepticus	seizure
ictal	seizure
dyspnea	shortness
degradation	malformation
hematemesis	coffee-ground
hemoptysis	cough
lymphadenopathy	mass
ketoacidosis	diabetic
orthpnea	breath
hiatus	hole
cardiac	heart
myocardial	heart
nephropathy	kidney
renal	kidney
hepatic	liver
ocular	eye
nerve	innervation
ENT 	otorhinolaryngology
intracranial	brain
adnexal	ovarian
cerebral	brain
clavicular	shoulder
pulmonary	lungs
ophthalmic	eye
cholangiopathy	liver
carina	trachea
pylorus	stomach
bicarbonate	soda
fecal	stool
erythrocyte	red
glucose	sugar
ethanol	alcohol
enterococcal	bacteria
immunoglobulin	antibody
neutrophilic	white
hyperkalemia	potassium
pseudamonas	bacteria
pneumococcus	bacteria
neuroleptics	antipsychotics
NTG	nitroglycerin
inotropic	pressor
furosemide	diuretic
Humalog	insulin
Novolog	insulin
micafungin	anti-fungal
thiamine	vitamin
folate	vitamin
antiepileptics	antiseizure
dopamine	pressor
aversion	electric
prophylaxis	prevention
MRI	scan
apheresis	dialysis
hemiarthroplasty	replacement
angioplasty	stenting
hemodialysis	dialysis
hemiplegia	sided
dysrhythmia	irregular
instability	unstable
fertilization	conception
ambulatory	outpatient
procedure	technique
chemo	chemotherapy
a-fib	fibrillation
cr	creatinine
mets	cancer
CAD	coronary
Na	sodium
qd	once/day
IVF	infusion
SOB	breath
vanco	vancomycin
N/V	nausea/vomiting
abd	abdominal
3VD	coronary
STEMI	ischemia
pRBCs	red
